month,sales_total,inflation_rate,cpi,m1,m2,cli,bci,cci,cap,floor
1/1/2005,293261,2.53,199,1374.7,6406.1,100.2392,103.5195,101.0167,446169,263935
2/1/2005,295062,2.48,199.4,1355,6404.6,100.2278,103.3132,100.9915,446169,263935
3/1/2005,339141,2.69,200.1,1374.7,6462.9,100.1927,103.1299,100.8536,446169,263935
4/1/2005,335632,2.69,200.2,1370.8,6517.4,100.1402,103.056,100.7005,446169,263935
5/1/2005,345348,2.6,200.5,1374,6453,100.0809,103.0645,100.6352,446169,263935
6/1/2005,350945,2.37,200.6,1377.6,6512.5,100.037,103.121,100.6698,446169,263935
7/1/2005,351827,2.31,200.9,1366.8,6527.6,100.0162,103.2083,100.6197,446169,263935
8/1/2005,355701,2.37,201.1,1378.2,6547.3,100.0116,103.3024,100.3899,446169,263935
9/1/2005,333289,2.41,201.3,1359,6587.8,100.0244,103.3833,100.108,446169,263935
10/1/2005,336134,2.55,202,1372.8,6607.1,100.0646,103.4391,100.0745,446169,263935
11/1/2005,343798,2.58,202.5,1369.4,6654.6,100.1481,103.4828,100.3174,446169,263935
12/1/2005,405608,2.37,202.8,1388,6700.7,100.2633,103.529,100.6581,446169,263935
1/1/2006,318546,2.34,203.2,1387.6,6708.1,100.3819,103.5837,100.8902,459790,282646
2/1/2006,314051,2.55,203.6,1362,6719,100.5201,103.6299,100.9408,459790,282646
3/1/2006,361993,2.57,204.3,1383.8,6792.8,100.6597,103.6386,100.9066,459790,282646
4/1/2006,351667,2.52,204.8,1399.1,6868.3,100.7939,103.5883,100.8002,459790,282646
5/1/2006,373560,2.72,205.4,1394.1,6792.2,100.9105,103.5211,100.6197,459790,282646
6/1/2006,366615,2.65,205.9,1373.7,6850.2,101.0134,103.4951,100.5211,459790,282646
7/1/2006,362203,2.61,206.3,1377.5,6867.7,101.1221,103.554,100.4914,459790,282646
8/1/2006,375795,2.59,206.8,1363.4,6891.2,101.265,103.6544,100.521,459790,282646
9/1/2006,346214,2.48,207.2,1348,6918.4,101.4684,103.7383,100.6724,459790,282646
10/1/2006,348796,2.37,207.6,1364.6,6950.7,101.6999,103.7628,100.8949,459790,282646
11/1/2006,356928,2.28,207.8,1362.4,7022.4,101.9336,103.7474,101.0194,459790,282646
12/1/2006,417991,2.33,208.1,1379.5,7084.1,102.1588,103.7166,101.0685,459790,282646
1/1/2007,328877,2.3,208.6,1380.1,7102.6,102.363,103.6824,101.0687,468685,290846
2/1/2007,323162,2.42,209.135,1349.3,7103.4,102.5526,103.6429,101.0003,468685,290846
3/1/2007,374142,2.37,209.418,1366.9,7191.5,102.7097,103.5834,100.9249,468685,290846
4/1/2007,358535,2.44,209.747,1400.5,7287.7,102.8162,103.4833,100.9109,468685,290846
5/1/2007,391512,2.45,210.058,1379.5,7238.4,102.8507,103.343,100.9399,468685,290846
6/1/2007,376639,2.38,210.392,1367.2,7280.6,102.7936,103.1534,100.9244,468685,290846
7/1/2007,372354,2.38,210.773,1376.8,7282.8,102.6532,102.9052,100.8856,468685,290846
8/1/2007,388016,2.32,211.119,1364.4,7342.7,102.47,102.648,100.7312,468685,290846
9/1/2007,353936,2.2,211.554,1361.1,7370.5,102.2761,102.4445,100.526,468685,290846
10/1/2007,368681,2.3,212.077,1368.8,7368.9,102.0584,102.3335,100.2704,468685,290846
11/1/2007,377802,2.36,212.66,1367.7,7430.2,101.7929,102.2392,99.97227,468685,290846
12/1/2007,426077,2.34,213.168,1398.4,7494.4,101.4845,102.0498,99.72444,468685,290846
1/1/2008,342639,2.32,213.771,1370.5,7500.8,101.1204,101.6787,99.46661,437752,301991
2/1/2008,343893,2.31,213.939,1364.3,7568.8,100.689,101.2216,99.11309,437752,301991
3/1/2008,372907,2.43,214.42,1403.5,7704.1,100.1772,100.8042,98.69788,437752,301991
4/1/2008,368920,2.35,214.56,1402.3,7772.7,99.55629,100.5174,98.19432,437752,301991
5/1/2008,397956,2.26,214.936,1392.1,7700.7,98.81998,100.3107,97.70956,437752,301991
6/1/2008,378507,2.48,215.424,1413.3,7726.4,97.99107,100.1167,97.34196,437752,301991
7/1/2008,383726,2.52,215.965,1410.8,7745.1,97.12994,99.89368,97.23011,437752,301991
8/1/2008,382862,2.34,216.393,1400,7741.4,96.31249,99.65639,97.31188,437752,301991
9/1/2008,350542,2.05,216.713,1439.9,7793.8,95.5695,99.4378,97.31117,437752,301991
10/1/2008,349847,1.51,216.788,1450.2,7920.9,94.93823,99.26481,97.01122,437752,301991
11/1/2008,335545,0.87,216.947,1506.2,7981.2,94.47829,99.11552,96.73664,437752,301991
12/1/2008,384236,0.34,216.925,1617.4,8198.5,94.2248,98.96146,96.57185,437752,301991
1/1/2009,310188,0.17,217.346,1588.8,8282.7,94.17407,98.78618,96.48768,440309,269471
2/1/2009,299412,1.14,217.792,1551.8,8284.2,94.36319,98.60859,96.48175,440309,269471
3/1/2009,328526,0.96,218.253,1594.5,8424.5,94.79914,98.4622,96.71049,440309,269471
4/1/2009,329854,1.31,218.706,1623.3,8446.7,95.46832,98.37663,97.18779,440309,269471
5/1/2009,347728,1.41,218.904,1613.5,8419.3,96.3093,98.3279,97.68091,440309,269471
6/1/2009,344405,1.91,219.112,1661.7,8436.5,97.2646,98.29139,98.06911,440309,269471
7/1/2009,348071,1.72,219.263,1649.2,8408.5,98.26803,98.2578,98.32172,440309,269471
8/1/2009,353392,1.81,219.496,1660.2,8382.3,99.23491,98.2371,98.55218,440309,269471
9/1/2009,324646,1.64,219.92,1636.1,8394.4,100.0936,98.25932,98.80308,440309,269471
10/1/2009,338610,1.71,220.501,1652.4,8419.4,100.7784,98.36266,98.93856,440309,269471
11/1/2009,339363,2,220.666,1692.6,8487.2,101.2533,98.53855,99.00746,440309,269471
12/1/2009,400281,2.14,220.881,1714,8543.8,101.5407,98.79172,99.11233,440309,269471
1/1/2010,314557,2.38,220.633,1681.2,8476.4,101.6769,99.12768,99.22823,469329,279833
2/1/2010,310925,2.39,220.731,1680.6,8484.9,101.7037,99.46296,99.27442,469329,279833
3/1/2010,360679,2.15,220.783,1726.2,8563.8,101.6473,99.68129,99.27836,469329,279833
4/1/2010,356333,2.28,220.822,1711.5,8609.2,101.5192,99.69041,99.24829,469329,279833
5/1/2010,365605,2.4,220.962,1717.9,8575.4,101.3316,99.59595,99.19506,469329,279833
6/1/2010,358604,1.97,221.194,1725.3,8606.8,101.1226,99.52882,99.1443,469329,279833
7/1/2010,361939,1.75,221.363,1712.7,8575.4,100.9235,99.57637,99.06806,469329,279833
8/1/2010,362627,1.8,221.509,1746,8599.3,100.7742,99.68609,99.05122,469329,279833
9/1/2010,345999,1.56,221.711,1732.6,8648.3,100.6803,99.78143,99.0542,469329,279833
10/1/2010,355209,1.79,221.83,1759.9,8701.2,100.6329,99.81552,99.10344,469329,279833
11/1/2010,365828,2.17,222.149,1829.2,8760,100.621,99.83918,99.20814,469329,279833
12/1/2010,426663,2.14,222.343,1853.5,8850,100.6273,99.93417,99.26978,469329,279833
1/1/2011,335587,2.3,222.803,1871.8,8850.3,100.63,100.1568,99.25554,497003,302028
2/1/2011,337314,2.37,223.213,1858.7,8884.4,100.6149,100.4104,99.15549,497003,302028
3/1/2011,387088,2.41,223.454,1896.1,8996,100.5511,100.5493,98.90827,497003,302028
4/1/2011,380775,2.52,223.727,1916,9061.9,100.4262,100.452,98.74839,497003,302028
5/1/2011,391999,2.57,224.175,1941.7,9015.6,100.2299,100.2092,98.72783,497003,302028
6/1/2011,388700,2.22,224.697,1940.1,9100.5,99.94025,99.92676,98.62647,497003,302028
7/1/2011,384682,2.45,225.218,1973.3,9235.6,99.5836,99.67468,98.34161,497003,302028
8/1/2011,394609,2.44,225.862,2102.5,9442.4,99.20618,99.47533,97.99671,497003,302028
9/1/2011,375025,2.08,226.118,2086.7,9495.2,98.84995,99.35942,97.84585,497003,302028
10/1/2011,379482,1.75,226.506,2141.6,9541.9,98.5472,99.36935,97.86165,497003,302028
11/1/2011,391220,2.05,226.899,2156.5,9630.4,98.32314,99.47902,98.01746,497003,302028
12/1/2011,451821,2.05,227.405,2183.5,9706.9,98.18799,99.68194,98.23873,497003,302028
1/1/2012,355184,1.96,227.877,2230.5,9766.3,98.13741,99.97961,98.48743,508312,319666
2/1/2012,372401,2.15,228.034,2189.9,9778.7,98.14264,100.2766,98.66638,508312,319666
3/1/2012,414149,2.26,228.478,2225.7,9889.5,98.17416,100.4424,98.7478,508312,319666
4/1/2012,392949,2.32,228.905,2284.9,9945.1,98.22202,100.3738,98.74361,508312,319666
5/1/2012,418608,2.26,229.224,2236.7,9880.8,98.29751,100.1885,98.70378,508312,319666
6/1/2012,400975,2.06,229.623,2259.2,9948.4,98.42721,100.0326,98.59238,508312,319666
7/1/2012,396026,2.13,229.97,2322.6,9997.7,98.61733,100.0038,98.51158,508312,319666
8/1/2012,417922,2.23,230.233,2317.2,10061,98.83955,100.0468,98.48725,508312,319666
9/1/2012,385609,2.25,230.659,2351,10148.4,99.07017,100.0795,98.51991,508312,319666
10/1/2012,399400,2.42,231.024,2412.2,10225.7,99.28709,100.0479,98.58395,508312,319666
11/1/2012,411065,2.52,231.33,2412.5,10338.6,99.47754,99.99217,98.59605,508312,319666
12/1/2012,462102,2.41,231.725,2514.1,10510.3,99.65036,99.97947,98.55334,508312,319666
1/1/2013,375468,2.48,232.229,2469,10513.6,99.83836,100.0621,98.63836,525098,336577
2/1/2013,373974,2.59,232.569,2459,10467.3,100.0488,100.1918,98.77293,525098,336577
3/1/2013,421748,2.53,232.794,2461.4,10592.3,100.286,100.3012,98.89683,525098,336577
4/1/2013,408551,2.51,232.832,2565.3,10665.5,100.5385,100.3366,99.01455,525098,336577
5/1/2013,437214,2.3,232.996,2502.7,10572.7,100.7916,100.3125,99.18262,525098,336577
6/1/2013,414816,2.21,233.35,2517.7,10631.2,101.0395,100.2435,99.32403,525098,336577
7/1/2013,422532,2.02,233.88,2552.2,10674.9,101.2841,100.1355,99.42937,525098,336577
8/1/2013,435215,2.26,234.336,2524.6,10728.2,101.4968,100.0223,99.43913,525098,336577
9/1/2013,396415,2.1,234.7,2573,10796.5,101.6638,99.94283,99.38361,525098,336577
