"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.2191,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.0939,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.9814,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.9019,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.8646,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.8165,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.68,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.4008,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.0842,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.8823,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.919,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.0987,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.2994,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.421,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.4139,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.1897,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.661,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",99.99844,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.4078,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.04086,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.83449,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.71423,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.63725,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.54924,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.39599,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.14606,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.87871,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.70702,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.71848,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.8199,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-12",97.88931,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-01",97.83794,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-02",97.70427,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-03",97.54187,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-04",97.38981,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-05",97.27159,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-06",97.21655,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-07",97.24731,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-08",97.30417,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-09",97.31234,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-10",97.22312,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-11",97.10379,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1977-12",97.06338,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-01",97.20868,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-02",97.5212,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-03",98.00604,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-04",98.67339,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-05",99.34785,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-06",99.78532,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-07",99.78278,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1978-08",99.52516,
