"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.46799,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.51956,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.66197,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.84604,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.02869,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.23436,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.4893,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.82459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.21383,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.60853,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.97366,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.2555,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.3687,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.3131,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.1639,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.0049,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.88504,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.79598,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.8299,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.0737,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6188,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.4998,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.5342,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.4455,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.01,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.0772,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",103.7208,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",103.1641,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",102.5628,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",102.0201,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",101.5837,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",101.2668,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",101.0527,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.9109,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.7959,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.7094,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.6921,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.7238,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.7536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.6798,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.4304,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.99776,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.40381,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",98.67025,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",97.89408,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",97.24763,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",96.8288,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",96.65852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",96.66041,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",96.75617,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",96.9185,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",97.12852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",97.37063,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",97.57706,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",97.73484,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",97.91195,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.13999,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",98.38578,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",98.63063,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",98.85773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.05872,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.25288,
